,Station,Date ∇,Ave. T.(ºC),Max. T.(ºC),Min. T.(ºC),Prec.(mm),S.L.Press./Gheopot.,Wind dir,Wind sp.(Km/h),Cloud c.,Snow depth(cm),country
2355,MANNAR,24/04/2013,29.7,33.0,26.4,0.0,1010.3 Hpa,250º(W),1,3/8,,SRI LANKA
2356,VAVUNIYA,24/04/2013,29.4,34.7,24.2,10.5,1010.9 Hpa,222º(SW),2,5/8,,SRI LANKA
2357,TRINCOMALEE,24/04/2013,30.0,33.6,26.4,0.0,-,129º(SE),6,6/8,,SRI LANKA
2358,ANURADHAPURA,24/04/2013,29.6,34.9,24.3,0.2,1010.7 Hpa,295º(NW),0,5/8,,SRI LANKA
2359,MAHA ILLUPPALLAMA,24/04/2013,29.3,35.0,23.6,0.0,1010.5 Hpa,229º(SW),3,5/8,,SRI LANKA
2360,PUTTALAM,24/04/2013,28.9,33.3,24.5,0.0,1009.7 Hpa,240º(SW),4,4/8,,SRI LANKA
2361,BATTICALOA,24/04/2013,29.9,33.1,26.6,0.0,1010.1 Hpa,45º(NE),3,4/8,,SRI LANKA
2362,KURUNEGALA,24/04/2013,29.4,34.8,24.0,6.3,1009.7 Hpa,250º(W),1,5/8,,SRI LANKA
2363,KANDY,24/04/2013,26.6,31.6,21.5,1.0,1010.6 Hpa,360º(N),2,6/8,,SRI LANKA
2364,COLOMBO,24/04/2013,29.2,32.3,26.1,0.0,1010.0 Hpa,206º(SW),4,5/8,,SRI LANKA
2365,RATMALANA,24/04/2013,29.4,33.0,25.9,0.0,1010.3 Hpa,340º(N),8,5/8,,SRI LANKA
2366,NUWARA ELIYA,24/04/2013,17.3,23.0,11.6,0.0,-,90º(E),1,5/8,,SRI LANKA
2367,POTTUVIL,24/04/2013,30.6,34.3,27.0,-,1010.0 Hpa,95º(E),4,7/8,,SRI LANKA
2368,BANDARAWELA,24/04/2013,21.3,26.0,16.6,Tr,1532 m(850 Hpa),90º(E),7,5/8,,SRI LANKA
2369,BADULLA,24/04/2013,24.4,29.6,19.2,3.5,-,333º(NW),2,6/8,,SRI LANKA
2370,RATNAPURA,24/04/2013,29.2,34.4,24.0,63.3,1010.4 Hpa,16º(N),2,6/8,,SRI LANKA
2371,GALLE,24/04/2013,29.2,32.2,26.2,0.0,1010.9 Hpa,321º(NW),8,5/8,,SRI LANKA
2372,HAMBANTOTA,24/04/2013,29.8,33.1,26.4,23.8,1010.0 Hpa,229º(SW),9,6/8,,SRI LANKA
2373,KANKASANTURAI,25/04/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
2374,JAFFNA,25/04/2013,29.7,33.1,26.3,2.1,1010.6 Hpa,-,-,7/8,,SRI LANKA
2375,MULLAITTIVU,25/04/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
2376,MANNAR,25/04/2013,29.9,33.8,26.1,0.1,1010.2 Hpa,170º(S),3,4/8,,SRI LANKA
2377,VAVUNIYA,25/04/2013,29.1,34.1,24.2,0.0,1010.8 Hpa,250º(W),2,5/8,,SRI LANKA
2378,TRINCOMALEE,25/04/2013,30.8,33.9,27.6,0.0,-,135º(SE),6,6/8,,SRI LANKA
2379,ANURADHAPURA,25/04/2013,30.1,35.2,25.0,0.0,1010.5 Hpa,320º(NW),1,6/8,,SRI LANKA
2380,MAHA ILLUPPALLAMA,25/04/2013,29.1,34.3,24.0,0.0,1010.5 Hpa,184º(S),2,6/8,,SRI LANKA
2381,PUTTALAM,25/04/2013,28.9,33.4,24.3,2.3,1009.7 Hpa,245º(SW),4,5/8,,SRI LANKA
2382,BATTICALOA,25/04/2013,29.9,32.9,27.0,7.2,1010.1 Hpa,116º(SE),2,6/8,,SRI LANKA
2383,KURUNEGALA,25/04/2013,28.9,33.6,24.1,24.7,1009.7 Hpa,285º(W),2,6/8,,SRI LANKA
2384,KANDY,25/04/2013,26.6,30.4,22.9,27.9,1010.5 Hpa,16º(N),1,6/8,,SRI LANKA
2385,COLOMBO,25/04/2013,29.6,32.5,26.6,0.0,1009.7 Hpa,214º(SW),4,6/8,,SRI LANKA
2386,RATMALANA,25/04/2013,28.7,33.2,24.2,8.5,1010.1 Hpa,219º(SW),6,6/8,,SRI LANKA
2387,NUWARA ELIYA,25/04/2013,19.9,22.7,17.0,1.9,1502 m(850 Hpa),90º(E),1,5/8,,SRI LANKA
2388,POTTUVIL,25/04/2013,30.4,33.7,27.0,-,1010.0 Hpa,166º(S),5,7/8,,SRI LANKA
2389,BANDARAWELA,25/04/2013,21.6,25.4,17.9,8.1,1531 m(850 Hpa),160º(S),5,7/8,,SRI LANKA
2390,BADULLA,25/04/2013,25.0,29.6,20.4,10.7,-,340º(N),2,7/8,,SRI LANKA
2391,RATNAPURA,25/04/2013,28.5,32.5,24.5,12.9,1010.4 Hpa,140º(SE),2,7/8,,SRI LANKA
2392,GALLE,25/04/2013,28.4,31.4,25.4,0.0,1011.0 Hpa,337º(NW),7,6/8,,SRI LANKA
2393,HAMBANTOTA,25/04/2013,28.9,32.0,25.7,Tr,1010.2 Hpa,317º(NW),7,5/8,,SRI LANKA
2394,KANKASANTURAI,26/04/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
2395,JAFFNA,26/04/2013,30.0,32.8,27.2,Tr,1010.0 Hpa,-,-,7/8,,SRI LANKA
2396,MULLAITTIVU,26/04/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
2397,MANNAR,26/04/2013,29.5,33.4,25.6,1.9,1010.0 Hpa,149º(SE),3,5/8,,SRI LANKA
2398,VAVUNIYA,26/04/2013,29.1,34.4,23.8,0.6,1010.4 Hpa,130º(SE),3,4/8,,SRI LANKA
2399,TRINCOMALEE,26/04/2013,29.8,33.3,26.3,0.0,-,138º(SE),5,6/8,,SRI LANKA
2400,ANURADHAPURA,26/04/2013,29.8,35.0,24.5,Tr,1010.1 Hpa,299º(NW),1,6/8,,SRI LANKA
2401,MAHA ILLUPPALLAMA,26/04/2013,29.2,35.1,23.4,1.3,1009.9 Hpa,152º(SE),2,5/8,,SRI LANKA
2402,PUTTALAM,26/04/2013,28.9,33.7,24.0,0.0,1009.4 Hpa,222º(SW),2,6/8,,SRI LANKA
2403,BATTICALOA,26/04/2013,29.4,32.7,26.0,0.0,1009.8 Hpa,95º(E),3,4/8,,SRI LANKA
2404,KURUNEGALA,26/04/2013,28.6,33.8,23.3,22.1,1009.5 Hpa,226º(SW),2,5/8,,SRI LANKA
2405,KANDY,26/04/2013,26.8,31.1,22.4,0.0,1010.0 Hpa,360º(N),1,5/8,,SRI LANKA
2406,COLOMBO,26/04/2013,29.4,32.3,26.5,0.9,1010.0 Hpa,184º(S),4,5/8,,SRI LANKA
2407,RATMALANA,26/04/2013,29.5,33.2,25.8,0.0,1009.7 Hpa,151º(SE),4,5/8,,SRI LANKA
2408,NUWARA ELIYA,26/04/2013,17.4,23.1,11.8,Tr,1503 m(850 Hpa),115º(SE),2,5/8,,SRI LANKA
2409,POTTUVIL,26/04/2013,29.8,33.8,25.8,-,1009.9 Hpa,100º(E),2,3/8,,SRI LANKA
2410,BANDARAWELA,26/04/2013,20.9,25.7,16.1,Tr,1525 m(850 Hpa),113º(SE),7,6/8,,SRI LANKA
2411,BADULLA,26/04/2013,23.6,28.8,18.4,0.0,-,24º(NE),1,7/8,,SRI LANKA
2412,RATNAPURA,26/04/2013,29.0,34.6,23.4,10.4,1010.1 Hpa,295º(NW),2,7/8,,SRI LANKA
2413,GALLE,26/04/2013,29.1,32.4,25.8,0.0,1010.8 Hpa,311º(NW),6,6/8,,SRI LANKA
2414,HAMBANTOTA,26/04/2013,28.6,32.5,24.7,0.0,1009.8 Hpa,269º(W),7,6/8,,SRI LANKA
2415,KANKASANTURAI,27/04/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
2416,JAFFNA,27/04/2013,29.4,33.2,25.6,0.0,1009.7 Hpa,-,-,7/8,,SRI LANKA
2417,MULLAITTIVU,27/04/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
2418,MANNAR,27/04/2013,29.4,32.7,26.2,0.0,1009.8 Hpa,234º(SW),5,5/8,,SRI LANKA
2419,VAVUNIYA,27/04/2013,29.1,34.2,23.9,9.7,1009.7 Hpa,278º(W),4,4/8,,SRI LANKA
2420,TRINCOMALEE,27/04/2013,30.1,34.1,26.0,0.0,-,145º(SE),5,5/8,,SRI LANKA
2421,ANURADHAPURA,27/04/2013,30.6,35.5,25.7,1.0,1009.8 Hpa,320º(NW),2,6/8,,SRI LANKA
2422,MAHA ILLUPPALLAMA,27/04/2013,29.8,34.9,24.7,0.0,1009.3 Hpa,160º(S),5,4/8,,SRI LANKA
2423,PUTTALAM,27/04/2013,29.3,33.4,25.2,0.0,1009.1 Hpa,243º(SW),3,4/8,,SRI LANKA
2424,BATTICALOA,27/04/2013,29.2,32.5,26.0,-,1009.3 Hpa,70º(E),4,3/8,,SRI LANKA
2425,KURUNEGALA,27/04/2013,28.6,34.0,23.2,0.0,1008.6 Hpa,304º(NW),3,6/8,,SRI LANKA
2426,KANDY,27/04/2013,26.0,30.1,21.9,0.7,1009.7 Hpa,360º(N),1,6/8,,SRI LANKA
2427,COLOMBO,27/04/2013,29.4,32.3,26.5,0.0,1009.4 Hpa,199º(S),5,6/8,,SRI LANKA
2428,RATMALANA,27/04/2013,29.6,33.0,26.1,0.0,1009.6 Hpa,113º(SE),7,4/8,,SRI LANKA
2429,NUWARA ELIYA,27/04/2013,16.9,23.0,10.7,1.7,1500 m(850 Hpa),115º(SE),1,6/8,,SRI LANKA
2430,POTTUVIL,27/04/2013,30.4,34.4,26.3,-,1009.5 Hpa,115º(SE),2,4/8,,SRI LANKA
2431,BANDARAWELA,27/04/2013,21.1,26.2,16.0,2.5,1525 m(850 Hpa),246º(SW),7,5/8,,SRI LANKA
2432,BADULLA,27/04/2013,24.1,29.5,18.7,2.0,-,130º(SE),1,5/8,,SRI LANKA
2433,RATNAPURA,27/04/2013,29.4,35.2,23.6,29.2,1009.7 Hpa,314º(NW),3,7/8,,SRI LANKA
2434,GALLE,27/04/2013,28.9,32.1,25.8,0.0,1010.4 Hpa,353º(N),5,6/8,,SRI LANKA
2435,HAMBANTOTA,27/04/2013,29.2,32.8,25.7,0.0,1008.9 Hpa,270º(W),8,6/8,,SRI LANKA
2436,KANKASANTURAI,28/04/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
