LOCATION_ID,LATITUDE,LONGITUDE
19114,6.5625131344,80.003358256
19122,6.5625131344,80.075223152
19360,6.5714962464,79.958442696
19443,6.5714962464,80.704040992
19481,6.5714962464,81.045399248
19611,6.5804793584,79.958442696
19612,6.5804793584,79.967425808
19618,6.5804793584,80.02132448
19633,6.5804793584,80.15607116
19678,6.5804793584,80.5603112
19878,6.5894624704,80.102172488
19913,6.5894624704,80.416581408
20113,6.5984455824,79.958442696
20114,6.5984455824,79.967425808
20116,6.5984455824,79.985392032
20170,6.5984455824,80.47048008
20363,6.6074286944,79.949459584
20387,6.6074286944,80.165054272
20396,6.6074286944,80.24590228
20436,6.6074286944,80.60522676
20616,6.6164118064,79.967425808
20621,6.6164118064,80.012341368
20628,6.6164118064,80.075223152
20651,6.6164118064,80.281834728
20671,6.6164118064,80.461496968
20682,6.6164118064,80.5603112
20864,6.6253949184,79.940476472
20882,6.6253949184,80.102172488
20931,6.6253949184,80.542344976
20995,6.6253949184,81.117264144
21115,6.6343780304,79.940476472
21118,6.6343780304,79.967425808
21201,6.6343780304,80.713024104
21373,6.6433611424,80.003358256
21377,6.6433611424,80.039290704
21392,6.6433611424,80.174037384
21407,6.6433611424,80.308784064
21428,6.6433611424,80.497429416
21448,6.6433611424,80.677091656
21617,6.6523442544,79.940476472
21619,6.6523442544,79.958442696
21639,6.6523442544,80.138104936
21658,6.6523442544,80.308784064
21663,6.6523442544,80.353699624
21701,6.6523442544,80.69505788
21721,6.6523442544,80.87472012
21868,6.6613273664,79.940476472
21871,6.6613273664,79.967425808
21999,6.6613273664,81.117264144
22126,6.6703104784,80.003358256
22133,6.6703104784,80.06624004
22174,6.6703104784,80.434547632
22176,6.6703104784,80.452513856
22205,6.6703104784,80.713024104
22368,6.6792935904,79.922510248
22395,6.6792935904,80.165054272
22419,6.6792935904,80.38064896
22420,6.6792935904,80.389632072
22421,6.6792935904,80.398615184
22422,6.6792935904,80.407598296
22619,6.6882767024,79.922510248
22630,6.6882767024,80.02132448
22634,6.6882767024,80.057256928
22671,6.6882767024,80.389632072
22673,6.6882767024,80.407598296
22700,6.6882767024,80.65014232
22751,6.6882767024,81.108281032
22768,6.6882767024,81.260993936
22869,6.6972598144,79.913527136
22877,6.6972598144,79.985392032
22928,6.6972598144,80.443530744
22940,6.6972598144,80.551328088
22955,6.6972598144,80.686074768
22963,6.6972598144,80.757939664
22966,6.6972598144,80.784889
23120,6.7062429264,79.913527136
23124,6.7062429264,79.949459584
23125,6.7062429264,79.958442696
23131,6.7062429264,80.012341368
23138,6.7062429264,80.075223152
23169,6.7062429264,80.353699624
23194,6.7062429264,80.578277424
23216,6.7062429264,80.775905888
23370,6.7152260384,79.904544024
23371,6.7152260384,79.913527136
23379,6.7152260384,79.985392032
23386,6.7152260384,80.048273816
23388,6.7152260384,80.06624004
23427,6.7152260384,80.416581408
23621,6.7242091504,79.904544024
23627,6.7242091504,79.958442696
23635,6.7242091504,80.030307592
23641,6.7242091504,80.084206264
23662,6.7242091504,80.272851616
23669,6.7242091504,80.3357334
23690,6.7242091504,80.524378752
23744,6.7242091504,81.0094668
23750,6.7242091504,81.063365472
23872,6.7331922624,79.904544024
23873,6.7331922624,79.913527136
23875,6.7331922624,79.93149336
23881,6.7331922624,79.985392032
23894,6.7331922624,80.102172488
23896,6.7331922624,80.120138712
23907,6.7331922624,80.218952944
23925,6.7331922624,80.38064896
23973,6.7331922624,80.811838336
24005,6.7331922624,81.09929792
24009,6.7331922624,81.135230368
24032,6.7331922624,81.341841944
24122,6.7421753744,79.895560912
24123,6.7421753744,79.904544024
24149,6.7421753744,80.138104936
24247,6.7421753744,81.018449912
24251,6.7421753744,81.05438236
24265,6.7421753744,81.180145928
24266,6.7421753744,81.18912904
24373,6.7511584864,79.895560912
24374,6.7511584864,79.904544024
24380,6.7511584864,79.958442696
24381,6.7511584864,79.967425808
24383,6.7511584864,79.985392032
24387,6.7511584864,80.02132448
24402,6.7511584864,80.15607116
24405,6.7511584864,80.183020496
24423,6.7511584864,80.344716512
24623,6.7601415984,79.8865778
24626,6.7601415984,79.913527136
24643,6.7601415984,80.06624004
24732,6.7601415984,80.865737008
24734,6.7601415984,80.883703232
24739,6.7601415984,80.928618792
24774,6.7601415984,81.243027712
24775,6.7601415984,81.252010824
24781,6.7601415984,81.305909496
24837,6.7601415984,81.808963768
24874,6.7691247104,79.8865778
24877,6.7691247104,79.913527136
24879,6.7691247104,79.93149336
24880,6.7691247104,79.940476472
24895,6.7691247104,80.075223152
24920,6.7691247104,80.299800952
24990,6.7691247104,80.928618792
24991,6.7691247104,80.937601904
24993,6.7691247104,80.955568128
25124,6.7781078224,79.877594688
25125,6.7781078224,79.8865778
25126,6.7781078224,79.895560912
25129,6.7781078224,79.922510248
25130,6.7781078224,79.93149336
25132,6.7781078224,79.949459584
25136,6.7781078224,79.985392032
25138,6.7781078224,80.003358256
25141,6.7781078224,80.030307592
25179,6.7781078224,80.371665848
25187,6.7781078224,80.443530744
25375,6.7870909344,79.877594688
25376,6.7870909344,79.8865778
25377,6.7870909344,79.895560912
25379,6.7870909344,79.913527136
25385,6.7870909344,79.967425808
25395,6.7870909344,80.057256928
25400,6.7870909344,80.102172488
25405,6.7870909344,80.147088048
25412,6.7870909344,80.209969832
25427,6.7870909344,80.344716512
25626,6.7960740464,79.877594688
25627,6.7960740464,79.8865778
25628,6.7960740464,79.895560912
25629,6.7960740464,79.904544024
25632,6.7960740464,79.93149336
25633,6.7960740464,79.940476472
25642,6.7960740464,80.02132448
25715,6.7960740464,80.677091656
25747,6.7960740464,80.96455124
25763,6.7960740464,81.108281032
25876,6.8050571584,79.868611576
25877,6.8050571584,79.877594688
25878,6.8050571584,79.8865778
25881,6.8050571584,79.913527136
25882,6.8050571584,79.922510248
25886,6.8050571584,79.958442696
25888,6.8050571584,79.97640892
25926,6.8050571584,80.317767176
25997,6.8050571584,80.955568128
26005,6.8050571584,81.027433024
26035,6.8050571584,81.296926384
26127,6.8140402704,79.868611576
26129,6.8140402704,79.8865778
26130,6.8140402704,79.895560912
26133,6.8140402704,79.922510248
26135,6.8140402704,79.940476472
26136,6.8140402704,79.949459584
26138,6.8140402704,79.967425808
26139,6.8140402704,79.97640892
26141,6.8140402704,79.994375144
26148,6.8140402704,80.057256928
26168,6.8140402704,80.236919168
26378,6.8230233824,79.868611576
26379,6.8230233824,79.877594688
26380,6.8230233824,79.8865778
26381,6.8230233824,79.895560912
26382,6.8230233824,79.904544024
26383,6.8230233824,79.913527136
26385,6.8230233824,79.93149336
26386,6.8230233824,79.940476472
26387,6.8230233824,79.949459584
26389,6.8230233824,79.967425808
26391,6.8230233824,79.985392032
26392,6.8230233824,79.994375144
26393,6.8230233824,80.003358256
26396,6.8230233824,80.030307592
26403,6.8230233824,80.093189376
26408,6.8230233824,80.138104936
26427,6.8230233824,80.308784064
26450,6.8230233824,80.51539564
26492,6.8230233824,80.892686344
26546,6.8230233824,81.377774392
26563,6.8230233824,81.530487296
26564,6.8230233824,81.539470408
26628,6.8320064944,79.859628464
