,cell,resident,work,LATITUDE,LONGITUDE,Date
261,14349,190.0,25,6.3918340064,80.039290704,2013-01-01
262,14350,2328.0,313,6.3918340064,80.048273816,2013-01-01
263,14375,2585.0,461,6.3918340064,80.272851616,2013-01-01
264,14452,3664.0,474,6.3918340064,80.96455124,2013-01-01
265,14475,542.0,81,6.3918340064,81.171162816,2013-01-01
266,14620,2460.0,456,6.4008171184,80.218952944,2013-01-01
267,14673,1975.0,397,6.4008171184,80.69505788,2013-01-01
268,14745,88.0,25,6.4008171184,81.341841944,2013-01-01
269,14859,1326.0,214,6.409800230399999,80.1111556,2013-01-01
270,14936,1775.0,298,6.409800230399999,80.802855224,2013-01-01
271,14995,222.0,29,6.409800230399999,81.332858832,2013-01-01
272,15097,24.0,44,6.4187833424,79.994375144,2013-01-01
273,15098,4823.0,1318,6.4187833424,80.003358256,2013-01-01
274,15246,2486.0,479,6.4187833424,81.332858832,2013-01-01
275,15349,1733.0,1160,6.4277664544,80.003358256,2013-01-01
276,15440,1624.0,277,6.4277664544,80.820821448,2013-01-01
277,15600,261.0,184,6.4367495664,80.003358256,2013-01-01
278,15656,597.0,70,6.4367495664,80.506412528,2013-01-01
279,15672,1864.0,276,6.4367495664,80.65014232,2013-01-01
280,15699,1575.0,364,6.4367495664,80.892686344,2013-01-01
281,15714,920.0,109,6.4367495664,81.02743302399999,2013-01-01
282,15725,1248.0,273,6.4367495664,81.126247256,2013-01-01
283,15744,698.0,99,6.4367495664,81.296926384,2013-01-01
284,15849,31.0,37,6.445732678400001,79.985392032,2013-01-01
285,15850,2804.0,631,6.445732678400001,79.994375144,2013-01-01
286,15851,3972.0,459,6.445732678400001,80.003358256,2013-01-01
287,15853,6696.0,1363,6.445732678400001,80.02132448,2013-01-01
288,15871,1898.0,361,6.445732678400001,80.183020496,2013-01-01
289,16100,6228.0,1116,6.4547157904,79.985392032,2013-01-01
290,16105,1297.0,156,6.4547157904,80.030307592,2013-01-01
291,16114,4756.0,802,6.4547157904,80.1111556,2013-01-01
292,16171,1910.0,440,6.4547157904,80.623192984,2013-01-01
293,16184,478.0,54,6.4547157904,80.73997344,2013-01-01
294,16400,157.0,30,6.4636989024,80.42556452,2013-01-01
295,16414,265.0,34,6.4636989024,80.551328088,2013-01-01
296,16601,7105.0,624,6.472682014400001,79.97640892,2013-01-01
297,16604,4558.0,494,6.472682014400001,80.003358256,2013-01-01
298,16625,1705.0,225,6.472682014400001,80.19200360800001,2013-01-01
299,16670,3084.0,461,6.472682014400001,80.596243648,2013-01-01
300,16853,10619.0,1909,6.4816651264,79.985392032,2013-01-01
301,16868,4020.0,447,6.4816651264,80.120138712,2013-01-01
302,16932,1775.0,368,6.4816651264,80.69505788,2013-01-01
303,17232,314.0,47,6.4906482384,81.135230368,2013-01-01
304,17355,2969.0,360,6.4996313504,79.985392032,2013-01-01
305,17358,1992.0,200,6.4996313504,80.01234136800001,2013-01-01
306,17367,1924.0,206,6.4996313504,80.093189376,2013-01-01
307,17635,3654.0,713,6.5086144624,80.24590228,2013-01-01
308,17673,578.0,101,6.5086144624,80.587260536,2013-01-01
309,17681,2094.0,682,6.5086144624,80.659125432,2013-01-01
310,17884,158.0,179,6.517597574400001,80.227936056,2013-01-01
311,17984,1883.0,301,6.517597574400001,81.126247256,2013-01-01
312,18108,5618.0,888,6.5265806864,79.985392032,2013-01-01
313,18115,3219.0,413,6.5265806864,80.048273816,2013-01-01
314,18118,1463.0,256,6.5265806864,80.07522315199999,2013-01-01
315,18123,7841.0,3652,6.5265806864,80.120138712,2013-01-01
316,18139,2044.0,245,6.5265806864,80.263868504,2013-01-01
317,18154,322.0,390,6.5265806864,80.398615184,2013-01-01
318,18160,1227.0,181,6.5265806864,80.45251385600001,2013-01-01
319,18177,1145.0,143,6.5265806864,80.60522676,2013-01-01
320,18185,166.0,38,6.5265806864,80.677091656,2013-01-01
321,18383,2943.0,565,6.5355637984,80.20098672,2013-01-01
322,18404,5244.0,546,6.5355637984,80.389632072,2013-01-01
323,18427,666.0,183,6.5355637984,80.596243648,2013-01-01
324,18466,977.0,111,6.5355637984,80.946585016,2013-01-01
325,18616,1549.0,225,6.544546910399999,80.039290704,2013-01-01
326,18629,2042.0,639,6.544546910399999,80.15607116,2013-01-01
327,18861,1255.0,361,6.5535300224,79.985392032,2013-01-01
328,18866,1181.0,435,6.5535300224,80.030307592,2013-01-01
329,18925,3667.0,824,6.5535300224,80.5603112,2013-01-01
330,19110,3450.0,924,6.5625131344000005,79.967425808,2013-01-01
331,19112,1048.0,634,6.5625131344000005,79.985392032,2013-01-01
332,19114,8165.0,1386,6.5625131344000005,80.003358256,2013-01-01
333,19122,887.0,188,6.5625131344000005,80.07522315199999,2013-01-01
334,19360,12.0,22,6.5714962464,79.958442696,2013-01-01
335,19443,2568.0,431,6.5714962464,80.704040992,2013-01-01
336,19481,505.0,50,6.5714962464,81.045399248,2013-01-01
337,19611,767.0,1753,6.580479358400001,79.958442696,2013-01-01
338,19612,6977.0,2505,6.580479358400001,79.967425808,2013-01-01
339,19618,1739.0,309,6.580479358400001,80.02132448,2013-01-01
340,19633,3123.0,412,6.580479358400001,80.15607116,2013-01-01
341,19678,4917.0,1317,6.580479358400001,80.5603112,2013-01-01
342,19878,3070.0,838,6.5894624704,80.10217248800001,2013-01-01
343,19913,1514.0,227,6.5894624704,80.416581408,2013-01-01
344,20113,3516.0,945,6.5984455824,79.958442696,2013-01-01
345,20114,3510.0,704,6.5984455824,79.967425808,2013-01-01
346,20116,3488.0,620,6.5984455824,79.985392032,2013-01-01
347,20170,3084.0,741,6.5984455824,80.47048008,2013-01-01
348,20363,128.0,79,6.6074286944,79.949459584,2013-01-01
349,20387,1079.0,159,6.6074286944,80.16505427199999,2013-01-01
350,20396,6511.0,694,6.6074286944,80.24590228,2013-01-01
351,20436,1160.0,213,6.6074286944,80.60522676,2013-01-01
352,20616,3176.0,365,6.6164118063999995,79.967425808,2013-01-01
353,20621,1971.0,337,6.6164118063999995,80.01234136800001,2013-01-01
354,20628,959.0,285,6.6164118063999995,80.07522315199999,2013-01-01
355,20651,1245.0,215,6.6164118063999995,80.281834728,2013-01-01
356,20671,1089.0,180,6.6164118063999995,80.461496968,2013-01-01
357,20682,3833.0,635,6.6164118063999995,80.5603112,2013-01-01
358,20864,2303.0,624,6.6253949184000005,79.940476472,2013-01-01
359,20882,1973.0,433,6.6253949184000005,80.10217248800001,2013-01-01
360,20931,342.0,357,6.6253949184000005,80.54234497600001,2013-01-01
361,20995,2730.0,361,6.6253949184000005,81.11726414399999,2013-01-01
362,21115,2445.0,375,6.6343780304,79.940476472,2013-01-01
363,21118,1584.0,300,6.6343780304,79.967425808,2013-01-01
364,21201,2746.0,394,6.6343780304,80.713024104,2013-01-01
365,21373,1774.0,204,6.6433611424,80.003358256,2013-01-01
366,21377,681.0,193,6.6433611424,80.039290704,2013-01-01
367,21392,4599.0,884,6.6433611424,80.174037384,2013-01-01
368,21407,3718.0,520,6.6433611424,80.308784064,2013-01-01
369,21428,1314.0,258,6.6433611424,80.497429416,2013-01-01
370,21448,12509.0,2939,6.6433611424,80.677091656,2013-01-01
371,21617,1928.0,281,6.652344254400001,79.940476472,2013-01-01
372,21619,1428.0,224,6.652344254400001,79.958442696,2013-01-01
373,21639,3150.0,540,6.652344254400001,80.138104936,2013-01-01
374,21658,646.0,134,6.652344254400001,80.308784064,2013-01-01
375,21663,694.0,122,6.652344254400001,80.353699624,2013-01-01
376,21701,2866.0,2265,6.652344254400001,80.69505788,2013-01-01
377,21721,1227.0,214,6.652344254400001,80.87472012,2013-01-01
378,21868,4819.0,828,6.6613273664,79.940476472,2013-01-01
379,21871,1470.0,302,6.6613273664,79.967425808,2013-01-01
380,21999,1030.0,219,6.6613273664,81.11726414399999,2013-01-01
381,22126,2827.0,431,6.6703104784,80.003358256,2013-01-01
382,22133,4190.0,984,6.6703104784,80.06624004,2013-01-01
383,22174,1510.0,279,6.6703104784,80.434547632,2013-01-01
384,22176,830.0,191,6.6703104784,80.45251385600001,2013-01-01
385,22205,3409.0,726,6.6703104784,80.713024104,2013-01-01
386,22368,5325.0,1030,6.6792935903999995,79.92251024800001,2013-01-01
387,22395,1455.0,306,6.6792935903999995,80.16505427199999,2013-01-01
388,22419,147.0,69,6.6792935903999995,80.38064896,2013-01-01
389,22420,1461.0,700,6.6792935903999995,80.389632072,2013-01-01
390,22421,413.0,808,6.6792935903999995,80.398615184,2013-01-01
391,22422,673.0,1182,6.6792935903999995,80.407598296,2013-01-01
392,22619,4626.0,847,6.6882767024000005,79.92251024800001,2013-01-01
393,22630,1815.0,353,6.6882767024000005,80.02132448,2013-01-01
394,22634,844.0,81,6.6882767024000005,80.057256928,2013-01-01
395,22671,824.0,203,6.6882767024000005,80.389632072,2013-01-01
396,22673,7285.0,2639,6.6882767024000005,80.407598296,2013-01-01
397,22700,4222.0,533,6.6882767024000005,80.65014232,2013-01-01
398,22751,673.0,102,6.6882767024000005,81.108281032,2013-01-01
399,22768,2068.0,443,6.6882767024000005,81.260993936,2013-01-01
400,22869,1735.0,1041,6.697259814400001,79.913527136,2013-01-01
401,22877,350.0,95,6.697259814400001,79.985392032,2013-01-01
402,22928,1506.0,223,6.697259814400001,80.443530744,2013-01-01
403,22940,1053.0,211,6.697259814400001,80.551328088,2013-01-01
404,22955,3363.0,548,6.697259814400001,80.686074768,2013-01-01
405,22963,819.0,177,6.697259814400001,80.75793966399999,2013-01-01
406,22966,2337.0,418,6.697259814400001,80.784889,2013-01-01
407,23120,40.0,1234,6.7062429264,79.913527136,2013-01-01
408,23124,5960.0,1166,6.7062429264,79.949459584,2013-01-01
409,23125,2103.0,337,6.7062429264,79.958442696,2013-01-01
410,23131,3935.0,629,6.7062429264,80.01234136800001,2013-01-01
411,23138,1639.0,334,6.7062429264,80.07522315199999,2013-01-01
412,23169,943.0,416,6.7062429264,80.353699624,2013-01-01
413,23194,962.0,112,6.7062429264,80.57827742399999,2013-01-01
414,23216,380.0,83,6.7062429264,80.775905888,2013-01-01
415,23370,2760.0,3178,6.7152260384,79.90454402399999,2013-01-01
416,23371,7458.0,2240,6.7152260384,79.913527136,2013-01-01
417,23379,11308.0,2283,6.7152260384,79.985392032,2013-01-01
418,23386,3306.0,786,6.7152260384,80.048273816,2013-01-01
419,23388,11410.0,5708,6.7152260384,80.06624004,2013-01-01
420,23427,5975.0,2025,6.7152260384,80.416581408,2013-01-01
421,23621,1425.0,284,6.724209150399999,79.90454402399999,2013-01-01
